n_particles,n_threads,n_steps,avg_force_ms,avg_integrate_ms,avg_vtk_ms,avg_step_ms,total_force_ms,total_integrate_ms,total_vtk_ms,total_sim_ms,gflops_force,particles_per_sec
64,8,100,0.9686,0.9330,0.0000,1.9016,96.8595,93.3044,0.0000,190.2133,0.1873,33646
128,8,100,1.3612,0.9959,0.0000,2.3571,136.1225,99.5922,0.0000,235.7675,0.5374,54291
256,8,100,2.5466,0.5768,0.0000,3.1233,254.6584,57.6752,0.0000,312.3903,1.1535,81949
512,8,50,6.6920,0.6773,0.0000,7.3693,334.5987,33.8639,0.0000,368.5722,1.7593,69457
1024,8,50,21.7891,0.4278,0.0000,22.2168,1089.4526,21.3881,0.0000,1110.9851,2.1635,46085
2048,8,20,86.9695,2.8039,0.0000,89.7734,1739.3904,56.0777,0.0000,1795.5519,2.1692,22812
4096,8,20,302.2734,0.7316,0.0000,303.0050,6045.4683,14.6311,0.0000,6060.2126,2.4970,13518
8192,8,10,1183.5001,1.6925,0.0000,1185.1926,11835.0013,16.9252,0.0000,11851.9979,2.5514,6912
