N,mean_wall_time_s,stddev_wall_time_s
64,0.305316,0.113391
128,0.248014,0.007805
256,0.266635,0.000258
512,0.309346,0.003267
1024,0.379153,0.008833
2048,0.530487,0.002092
4096,0.836892,0.011487
8192,1.776632,0.001298
