N,run,wall_time_s
64,1,0.436187
64,2,0.243334
64,3,0.236426
128,1,0.247009
128,2,0.240760
128,3,0.256272
256,1,0.266449
256,2,0.266930
256,3,0.266527
512,1,0.306999
512,2,0.307962
512,3,0.313078
1024,1,0.389042
1024,2,0.376370
1024,3,0.372047
2048,1,0.532382
2048,2,0.528242
2048,3,0.530837
4096,1,0.825585
4096,2,0.848550
4096,3,0.836541
8192,1,1.778015
8192,2,1.776440
8192,3,1.775441
